vehicle_id,vehicle_type,tls_id,wait_start_time,wait_end_time,wait_duration
f_0.4,DEFAULT_VEHTYPE,122804862,12,13,1
f_0.5,DEFAULT_VEHTYPE,122804862,15,16,1
f_0.0,DEFAULT_VEHTYPE,GS_cluster_268162626_939854537,27,31,4
f_0.3,DEFAULT_VEHTYPE,122804862,17,43,26
f_0.4,DEFAULT_VEHTYPE,122804862,19,43,24
f_0.5,DEFAULT_VEHTYPE,122804862,20,43,23
bus2,bus,cluster_11693099831_444570416_6840545825_7059565461,45,49,4
f_0.8,DEFAULT_VEHTYPE,122804862,53,54,1
f_0.2,DEFAULT_VEHTYPE,122804862,15,59,44
f_0.10,DEFAULT_VEHTYPE,122804862,59,60,1
f_0.2,DEFAULT_VEHTYPE,GS_cluster_268162626_939854537,67,72,5
f_0.3,DEFAULT_VEHTYPE,GS_cluster_268162626_939854537,68,72,4
f_0.4,DEFAULT_VEHTYPE,GS_cluster_268162626_939854537,70,72,2
f_0.0,DEFAULT_VEHTYPE,122960160,74,78,4
f_0.10,DEFAULT_VEHTYPE,122804862,64,85,21
f_0.8,DEFAULT_VEHTYPE,122804862,61,85,24
f_0.9,DEFAULT_VEHTYPE,122804862,63,85,22
bus2,bus,cluster_11693099831_444570416_6840545825_7059565461,50,86,36
f_0.15,DEFAULT_VEHTYPE,122804862,102,103,1
f_0.7,DEFAULT_VEHTYPE,122804862,59,103,44
f_0.7,DEFAULT_VEHTYPE,GS_cluster_268162626_939854537,110,114,4
f_0.1,DEFAULT_VEHTYPE,122960160,110,126,16
f_0.13,DEFAULT_VEHTYPE,122804862,104,127,23
f_0.14,DEFAULT_VEHTYPE,122804862,106,127,21
f_0.15,DEFAULT_VEHTYPE,122804862,108,127,19
f_0.2,DEFAULT_VEHTYPE,122804862,126,127,1
bus1,bus,cluster_322079583_7059565429_7059565430_7059565458,114,139,25
f_0.12,DEFAULT_VEHTYPE,122804862,101,143,42
f_0.4,DEFAULT_VEHTYPE,122960160,123,143,20
f_0.20,DEFAULT_VEHTYPE,122804862,144,145,1
f_0.0,DEFAULT_VEHTYPE,122804862,116,147,31
f_0.3,DEFAULT_VEHTYPE,122960160,146,153,7
f_0.12,DEFAULT_VEHTYPE,GS_cluster_268162626_939854537,152,154,2
f_0.13,DEFAULT_VEHTYPE,GS_cluster_268162626_939854537,153,154,1
f_0.2,DEFAULT_VEHTYPE,122960160,144,154,10
f_0.18,DEFAULT_VEHTYPE,122804862,144,169,25
f_0.19,DEFAULT_VEHTYPE,122804862,146,169,23
f_0.2,DEFAULT_VEHTYPE,122804862,166,169,3
f_0.20,DEFAULT_VEHTYPE,122804862,147,169,22
f_0.5,DEFAULT_VEHTYPE,122804862,159,169,10
f_0.4,DEFAULT_VEHTYPE,122804862,154,170,16
bus1,bus,cluster_122966911_7059565450,169,171,2
f_0.6,DEFAULT_VEHTYPE,122960160,153,171,18
f_0.17,DEFAULT_VEHTYPE,122804862,143,186,43
f_0.25,DEFAULT_VEHTYPE,122804862,186,187,1
f_0.26,DEFAULT_VEHTYPE,122804862,189,190,1
f_0.17,DEFAULT_VEHTYPE,GS_cluster_268162626_939854537,195,198,3
f_0.18,DEFAULT_VEHTYPE,GS_cluster_268162626_939854537,197,198,1
f_0.9,DEFAULT_VEHTYPE,122960160,181,199,18
f_0.8,DEFAULT_VEHTYPE,122960160,180,202,22
bus1,bus,GS_cluster_7059565448_7059565449_7464757604_939854561,202,206,4
f_0.24,DEFAULT_VEHTYPE,122804862,190,212,22
f_0.25,DEFAULT_VEHTYPE,122804862,192,212,20
f_0.26,DEFAULT_VEHTYPE,122804862,194,212,18
f_0.4,DEFAULT_VEHTYPE,122804862,195,212,17
f_0.5,DEFAULT_VEHTYPE,122804862,199,212,13
f_0.6,DEFAULT_VEHTYPE,122804862,206,212,6
f_0.8,DEFAULT_VEHTYPE,122804862,210,212,2
f_0.7,DEFAULT_VEHTYPE,122804862,187,214,27
f_0.3,DEFAULT_VEHTYPE,5703666296,203,223,20
f_0.23,DEFAULT_VEHTYPE,122804862,187,230,43
f_0.31,DEFAULT_VEHTYPE,122804862,229,230,1
f_0.13,DEFAULT_VEHTYPE,122960160,219,232,13
f_0.32,DEFAULT_VEHTYPE,122804862,232,233,1
f_0.12,DEFAULT_VEHTYPE,122960160,217,235,18
f_0.23,DEFAULT_VEHTYPE,GS_cluster_268162626_939854537,238,241,3
f_0.8,DEFAULT_VEHTYPE,122960160,237,244,7
