sim_time,vehicle_id,tls_id,lane_id,eta,speed,priority_granted,phase_index,note
0.05,bus2,N/A,405373680#0_0,N/A,0.0,no,N/A,No TLS ahead
0.05,bus4,N/A,-405356845#1_0,N/A,0.0,no,N/A,No TLS ahead
0.05,bus1,36635979,-405356692_0,N/A,0.0,no,N/A,ETA unavailable
0.05,bus5,N/A,119259554_0,N/A,0.0,no,N/A,No TLS ahead
0.05,bus3,N/A,295700308#0_0,N/A,0.0,no,N/A,No TLS ahead
0.1,bus2,N/A,405373680#0_0,N/A,0.06,no,N/A,No TLS ahead
0.1,bus4,N/A,-405356845#1_0,N/A,0.06,no,N/A,No TLS ahead
0.1,bus1,36635979,-405356692_0,N/A,0.06,no,N/A,ETA unavailable
0.1,bus5,N/A,119259554_0,N/A,0.06,no,N/A,No TLS ahead
0.1,bus3,N/A,295700308#0_0,N/A,0.06,no,N/A,No TLS ahead
0.15,bus2,N/A,405373680#0_0,N/A,0.12,no,N/A,No TLS ahead
0.15,bus4,N/A,-405356845#1_0,N/A,0.12,no,N/A,No TLS ahead
0.15,bus1,36635979,-405356692_0,102.62,0.12,no,N/A,ETA too high (102.6s)
0.15,bus5,N/A,119259554_0,N/A,0.12,no,N/A,No TLS ahead
0.15,bus3,N/A,295700308#0_0,N/A,0.12,no,N/A,No TLS ahead
0.2,bus2,N/A,405373680#0_0,N/A,0.18,no,N/A,No TLS ahead
0.2,bus4,N/A,-405356845#1_0,N/A,0.18,no,N/A,No TLS ahead
0.2,bus1,36635979,-405356692_0,69.56,0.17,no,N/A,ETA too high (69.6s)
0.2,bus5,N/A,119259554_0,N/A,0.17,no,N/A,No TLS ahead
0.2,bus3,N/A,295700308#0_0,N/A,0.18,no,N/A,No TLS ahead
0.25,bus2,N/A,405373680#0_0,N/A,0.23,no,N/A,No TLS ahead
0.25,bus4,N/A,-405356845#1_0,N/A,0.23,no,N/A,No TLS ahead
0.25,bus1,36635979,-405356692_0,52.35,0.23,no,N/A,ETA too high (52.4s)
0.25,bus5,N/A,119259554_0,N/A,0.23,no,N/A,No TLS ahead
0.25,bus3,N/A,295700308#0_0,N/A,0.24,no,N/A,No TLS ahead
0.3,bus2,N/A,405373680#0_0,N/A,0.29,no,N/A,No TLS ahead
0.3,bus4,N/A,-405356845#1_0,N/A,0.29,no,N/A,No TLS ahead
0.3,bus1,36635979,-405356692_0,42.15,0.29,no,N/A,ETA too high (42.1s)
0.3,bus5,N/A,119259554_0,N/A,0.29,no,N/A,No TLS ahead
0.3,bus3,N/A,295700308#0_0,N/A,0.3,no,N/A,No TLS ahead
0.35,bus2,N/A,405373680#0_0,N/A,0.34,no,N/A,No TLS ahead
0.35,bus4,N/A,-405356845#1_0,N/A,0.35,no,N/A,No TLS ahead
0.35,bus1,36635979,-405356692_0,35.26,0.34,no,N/A,ETA too high (35.3s)
0.35,bus5,N/A,119259554_0,N/A,0.34,no,N/A,No TLS ahead
0.35,bus3,N/A,295700308#0_0,N/A,0.35,no,N/A,No TLS ahead
0.4,bus2,N/A,405373680#0_0,N/A,0.4,no,N/A,No TLS ahead
0.4,bus4,N/A,-405356845#1_0,N/A,0.4,no,N/A,No TLS ahead
0.4,bus1,36635979,-405356692_0,30.04,0.4,no,N/A,ETA too high (30.0s)
0.4,bus5,N/A,119259554_0,N/A,0.4,no,N/A,No TLS ahead
0.4,bus3,N/A,295700308#0_0,N/A,0.4,no,N/A,No TLS ahead
0.45,bus2,N/A,405373680#0_0,N/A,0.45,no,N/A,No TLS ahead
