vehicle_id,vehicle_type,start_time,end_time,duration
bus5,bus,0,109,109
car6.1,DEFAULT_VEHTYPE,5,220,215
car1.0,DEFAULT_VEHTYPE,0,252,252
car1.1,DEFAULT_VEHTYPE,5,252,247
car1.5,DEFAULT_VEHTYPE,23,254,231
car1.7,DEFAULT_VEHTYPE,32,254,222
car1.2,DEFAULT_VEHTYPE,9,256,247
car1.3,DEFAULT_VEHTYPE,14,261,247
car2.2,DEFAULT_VEHTYPE,9,267,258
car2.3,DEFAULT_VEHTYPE,14,267,253
car2.6,DEFAULT_VEHTYPE,27,268,241
car5.0,DEFAULT_VEHTYPE,0,270,270
car2.0,DEFAULT_VEHTYPE,0,272,272
car2.1,DEFAULT_VEHTYPE,5,274,269
car6.5,DEFAULT_VEHTYPE,23,286,263
car6.8,DEFAULT_VEHTYPE,36,286,250
car6.3,DEFAULT_VEHTYPE,14,288,274
car6.9,DEFAULT_VEHTYPE,41,288,247
car6.4,DEFAULT_VEHTYPE,18,290,272
car6.11,DEFAULT_VEHTYPE,50,290,240
car6.12,DEFAULT_VEHTYPE,54,291,237
car6.7,DEFAULT_VEHTYPE,32,292,260
car6.2,DEFAULT_VEHTYPE,9,293,284
car6.6,DEFAULT_VEHTYPE,27,294,267
car6.0,DEFAULT_VEHTYPE,0,296,296
car6.10,DEFAULT_VEHTYPE,45,297,252
bus4,bus,0,308,308
car2.5,DEFAULT_VEHTYPE,23,318,295
car2.7,DEFAULT_VEHTYPE,32,319,287
car2.9,DEFAULT_VEHTYPE,41,321,280
car2.14,DEFAULT_VEHTYPE,63,321,258
car2.13,DEFAULT_VEHTYPE,59,322,263
car2.4,DEFAULT_VEHTYPE,18,324,306
car2.10,DEFAULT_VEHTYPE,45,324,279
car2.11,DEFAULT_VEHTYPE,50,326,276
car2.12,DEFAULT_VEHTYPE,54,326,272
car2.8,DEFAULT_VEHTYPE,36,328,292
car6.13,DEFAULT_VEHTYPE,59,330,271
car6.14,DEFAULT_VEHTYPE,63,330,267
car2.16,DEFAULT_VEHTYPE,72,330,258
car6.17,DEFAULT_VEHTYPE,77,331,254
car6.15,DEFAULT_VEHTYPE,68,332,264
car6.19,DEFAULT_VEHTYPE,86,333,247
car6.20,DEFAULT_VEHTYPE,90,334,244
car6.16,DEFAULT_VEHTYPE,72,335,263
car6.18,DEFAULT_VEHTYPE,81,336,255
car5.2,DEFAULT_VEHTYPE,9,337,328
car5.1,DEFAULT_VEHTYPE,5,339,334
car5.4,DEFAULT_VEHTYPE,18,340,322
car5.3,DEFAULT_VEHTYPE,14,342,328
car5.5,DEFAULT_VEHTYPE,23,344,321
car5.6,DEFAULT_VEHTYPE,27,346,319
car2.15,DEFAULT_VEHTYPE,68,347,279
car1.13,DEFAULT_VEHTYPE,59,350,291
car1.9,DEFAULT_VEHTYPE,41,351,310
