sim_time,vehicle_id,vehicle_type,tls_id,lane_id,position,speed,priority_granted,phase_index,note,actual_delay
29,f_2.0,DEFAULT_VEHTYPE,GS_cluster_7059565448_7059565449_7464757604_939854561,755844260#0_0,24.978941612515058,0.0015677741103560367,yes,4,green granted after 8s,8
40,t_0,bus,GS_cluster_268161414_5950715985,-4480316#1_1,44.02899552078937,0.0,yes,4,green granted after 8s,8
57,f_0.0,DEFAULT_VEHTYPE,cluster_268162697_2761920568,406216725#0_1,89.99982200690107,20.214057462010533,yes,0,green granted after 8s,8
98,f_2.3,DEFAULT_VEHTYPE,GS_cluster_7059565448_7059565449_7464757604_939854561,755844260#0_0,43.06912722928643,13.162015083715128,yes,4,green granted after 8s,8
118,f_0.13,DEFAULT_VEHTYPE,cluster_268162697_2761920568,406216725#0_1,109.27826983178763,22.56811873081553,yes,0,green granted after 8s,8
125,f_2.3,DEFAULT_VEHTYPE,GS_cluster_268161414_5950715985,1065518636#0_2,30.11888556466764,0.00014569051860213842,yes,0,green granted after 8s,8
169,t_0,bus,cluster_1166628429_12503965554_268161337_268161552,334631554#0_0,92.96530391811203,19.9409046903532,yes,0,green granted after 8s,8
171,f_2.19,DEFAULT_VEHTYPE,GS_cluster_7059565448_7059565449_7464757604_939854561,755844260#0_0,40.75248262604582,12.323687355280741,yes,4,green granted after 8s,8
176,f_2.2,DEFAULT_VEHTYPE,GS_268161547,405546347#0_0,63.43083279889643,17.007778969360515,yes,0,green granted after 8s,8
180,t_0,bus,1166628271,604060294_0,111.62316910118602,19.804757375810297,yes,0,green granted after 8s,8
180,f_1.16,DEFAULT_VEHTYPE,cluster_268162697_2761920568,406215613#0_0,76.1426512855477,17.412211873389694,yes,0,green granted after 8s,8
199,f_2.20,DEFAULT_VEHTYPE,GS_cluster_268161414_5950715985,1065518636#0_2,15.11694195230571,0.0,yes,0,green granted after 8s,8
242,f_1.30,DEFAULT_VEHTYPE,cluster_268162697_2761920568,406215613#0_0,75.49677804756382,18.64502145807785,yes,0,green granted after 8s,8
245,f_2.3,DEFAULT_VEHTYPE,cluster_1166628429_12503965554_268161337_268161552,334631554#0_0,91.91753420920591,20.20412724772519,yes,0,green granted after 8s,8
246,f_2.37,DEFAULT_VEHTYPE,GS_cluster_7059565448_7059565449_7464757604_939854561,755844260#0_0,22.751840732389557,9.648195290257762,yes,4,green granted after 8s,8
248,f_2.4,DEFAULT_VEHTYPE,GS_268161547,405546347#0_0,66.34928700501763,17.176283967820925,yes,0,green granted after 8s,8
256,f_2.3,DEFAULT_VEHTYPE,1166628271,604060294_0,177.51845794486624,0.0012879635783977004,yes,0,green granted after 8s,8
260,f_2.19,DEFAULT_VEHTYPE,GS_cluster_268161414_5950715985,1065518636#0_2,12.822409786047848,12.395335929226018,yes,0,green granted after 8s,8
306,f_2.60,DEFAULT_VEHTYPE,GS_cluster_7059565448_7059565449_7464757604_939854561,755844260#0_0,9.9768770138922,0.0,yes,4,green granted after 8s,8
310,f_1.42,DEFAULT_VEHTYPE,cluster_268162697_2761920568,406215613#0_0,62.559347500155106,15.913808689080177,yes,0,green granted after 8s,8
313,f_2.17,DEFAULT_VEHTYPE,cluster_1166628429_12503965554_268161337_268161552,334631554#0_0,4.149086799044795,3.792911854489119,yes,0,green granted after 8s,8
320,f_2.16,DEFAULT_VEHTYPE,1166628271,604060294_0,66.20408552383849,16.397361640741593,yes,0,green granted after 8s,8
335,f_2.44,DEFAULT_VEHTYPE,GS_cluster_268161414_5950715985,1065518636#0_1,2.3664340910114765,15.747504165548683,yes,0,green granted after 8s,8
370,f_0.70,DEFAULT_VEHTYPE,cluster_268162697_2761920568,406216725#0_2,115.36617358081514,22.3858130278173,yes,0,green granted after 8s,8
375,f_2.19,DEFAULT_VEHTYPE,cluster_1166628429_12503965554_268161337_268161552,334631554#0_2,282.7285280884824,0.0005059434217496658,yes,0,green granted after 8s,8
388,f_2.26,DEFAULT_VEHTYPE,GS_268161547,405546347#0_0,58.993041865653254,15.96351710311137,yes,0,green granted after 8s,8
