sim_time,vehicle_id,vehicle_type,tls_id,lane_id,position_marker,actual_position,speed
4,f_1.0,DEFAULT_VEHTYPE,N/A,406215655_0,end,24.02,7.817379168560729
5,f_1.0,DEFAULT_VEHTYPE,N/A,406215650_0,start,0.94,10.029108155635186
5,t_0,bus,N/A,:4083338967_0_0,end,7.08,4.923220063559711
13,f_1.2,DEFAULT_VEHTYPE,N/A,406215655_0,end,23.6,7.0001905498327694
14,f_1.2,DEFAULT_VEHTYPE,N/A,:36750787_2_0,end,8.29,8.96791978275869
18,f_0.1,DEFAULT_VEHTYPE,N/A,:2761920560_0_2,start,0.58,23.447264147829266
18,f_1.3,DEFAULT_VEHTYPE,N/A,406215655_0,end,24.01,7.533626191364602
19,f_0.1,DEFAULT_VEHTYPE,N/A,406216738_2,end,17.14,24.76612605955452
19,f_1.3,DEFAULT_VEHTYPE,N/A,406215650_0,start,0.8,9.894908074755222
23,f_1.2,DEFAULT_VEHTYPE,N/A,406215650_1,middle,99.54,10.622114600514287
26,f_0.3,DEFAULT_VEHTYPE,N/A,:2761920560_0_2,middle,4.3,23.43904367058535
26,f_1.0,DEFAULT_VEHTYPE,N/A,690987758_2,end,37.76,12.450714493508332
27,f_0.2,DEFAULT_VEHTYPE,N/A,:cluster_2761920447_321925693_0_2,start,0.07,28.977895575388313
27,f_1.0,DEFAULT_VEHTYPE,N/A,406215639#0_3,start,0.93,10.456492988420845
27,f_1.5,DEFAULT_VEHTYPE,N/A,406215655_0,end,23.79,7.484834838216192
28,f_1.5,DEFAULT_VEHTYPE,N/A,406215650_0,start,0.42,9.740490634925663
29,f_2.1,DEFAULT_VEHTYPE,N/A,755844260#0_0,start,0.61,10.07495593484681
29,f_2.4,DEFAULT_VEHTYPE,N/A,755844274_0,middle,112.3,12.06542351557725
30,f_1.1,DEFAULT_VEHTYPE,N/A,406215639#0_3,start,0.11,11.980073461384494
31,f_1.6,DEFAULT_VEHTYPE,N/A,406215655_0,end,23.97,7.713114424096421
32,f_1.6,DEFAULT_VEHTYPE,N/A,406215650_0,start,0.21,9.350168231502176
33,f_0.1,DEFAULT_VEHTYPE,N/A,406216729_2,end,5.71,23.23544797865657
33,f_1.0,DEFAULT_VEHTYPE,N/A,:268162729_12_0,middle,14.78,10.4011085864692
34,f_0.6,DEFAULT_VEHTYPE,N/A,271237812#0_1,middle,57.56,13.080281452671628
34,f_2.3,DEFAULT_VEHTYPE,N/A,:7059565437_0_0,end,8.0,12.763489065136568
35,f_0.5,DEFAULT_VEHTYPE,N/A,:2761920560_0_2,start,0.04,24.979803650639955
36,f_0.5,DEFAULT_VEHTYPE,N/A,406216738_2,end,17.24,25.413448872913882
36,f_1.7,DEFAULT_VEHTYPE,N/A,406215655_0,end,24.07,7.025401252554731
37,f_0.2,DEFAULT_VEHTYPE,N/A,406216729_1,end,5.58,23.369794217272403
37,f_0.3,DEFAULT_VEHTYPE,N/A,:2761920567_0_2,start,0.02,22.74496997496576
37,f_1.1,DEFAULT_VEHTYPE,N/A,:268162729_12_0,end,29.0,12.776940891289463
37,f_1.7,DEFAULT_VEHTYPE,N/A,:36750787_2_0,end,8.58,8.784005969157445
38,f_0.6,DEFAULT_VEHTYPE,N/A,271237812#1_2,start,0.48,21.144992306805225
38,f_1.2,DEFAULT_VEHTYPE,N/A,406215639#0_3,middle,5.32,8.972415262533556
