sim_time,vehicle_id,tls_id,lane_id,eta,speed,priority_granted,phase_index,note
1.05,t1B3-b2739-sl4.0,GS_cluster_444570416_7059565461,755844281#0_0,N/A,0.0,no,N/A,ETA unavailable
1.05,t163-b2736-sl4.0,N/A,59712267#0_0,N/A,0.0,no,N/A,No TLS ahead
1.1,t1B3-b2739-sl4.0,GS_cluster_444570416_7059565461,755844281#0_0,N/A,0.05,no,N/A,ETA unavailable
1.1,t163-b2736-sl4.0,N/A,59712267#0_0,N/A,0.05,no,N/A,No TLS ahead
1.15,t1B3-b2739-sl4.0,GS_cluster_444570416_7059565461,755844281#0_0,N/A,0.1,no,N/A,ETA unavailable
1.15,t163-b2736-sl4.0,N/A,59712267#0_0,N/A,0.1,no,N/A,No TLS ahead
1.2,t1B3-b2739-sl4.0,GS_cluster_444570416_7059565461,755844281#0_0,317.43,0.15,no,N/A,ETA too high (317.4s)
1.2,t163-b2736-sl4.0,N/A,59712267#0_0,N/A,0.15,no,N/A,No TLS ahead
1.25,t1B3-b2739-sl4.0,GS_cluster_444570416_7059565461,755844281#0_0,240.65,0.19,no,N/A,ETA too high (240.6s)
1.25,t163-b2736-sl4.0,N/A,59712267#0_0,N/A,0.2,no,N/A,No TLS ahead
1.3,t1B3-b2739-sl4.0,GS_cluster_444570416_7059565461,755844281#0_0,195.45,0.24,no,N/A,ETA too high (195.5s)
1.3,t163-b2736-sl4.0,N/A,59712267#0_0,N/A,0.25,no,N/A,No TLS ahead
1.35,t1B3-b2739-sl4.0,GS_cluster_444570416_7059565461,755844281#0_0,162.78,0.28,no,N/A,ETA too high (162.8s)
1.35,t163-b2736-sl4.0,N/A,59712267#0_0,N/A,0.29,no,N/A,No TLS ahead
1.4,t1B3-b2739-sl4.0,GS_cluster_444570416_7059565461,755844281#0_0,139.57,0.33,no,N/A,ETA too high (139.6s)
1.4,t163-b2736-sl4.0,N/A,59712267#0_0,N/A,0.34,no,N/A,No TLS ahead
1.45,t1B3-b2739-sl4.0,GS_cluster_444570416_7059565461,755844281#0_0,124.18,0.37,no,N/A,ETA too high (124.2s)
1.45,t163-b2736-sl4.0,N/A,59712267#0_0,N/A,0.39,no,N/A,No TLS ahead
