sim_time,vehicle_id,vehicle_type,tls_id,lane_id,position_marker,actual_position,speed
4,2,DEFAULT_VEHTYPE,N/A,13463892#0_0,middle,5.1,0.0
10,2,DEFAULT_VEHTYPE,N/A,13463892#1_0,middle,31.5,12.972468090406617
13,2,DEFAULT_VEHTYPE,N/A,:7872074143_5_0,end,8.59,13.19454441865696
14,0,DEFAULT_VEHTYPE,N/A,13387358#28_0,end,142.97,4.3420425065556
15,0,DEFAULT_VEHTYPE,N/A,:cluster_122617894_6078203829_19_0,middle,1.2,2.929036978428252
19,4,DEFAULT_VEHTYPE,N/A,:1211029479_5_0,middle,4.56,5.569970753508098
22,6,DEFAULT_VEHTYPE,N/A,:8459950372_4_0,end,9.04,15.316580271430762
22,9,DEFAULT_VEHTYPE,N/A,405543907#0_0,middle,25.93,8.270242345286533
23,4,DEFAULT_VEHTYPE,N/A,13310793#3_0,start,0.92,5.583045346106909
25,6,DEFAULT_VEHTYPE,N/A,:123566637_1_0,end,3.23,4.461197663008532
26,6,DEFAULT_VEHTYPE,N/A,:123566637_9_0,middle,5.5,6.352900875991507
27,2,DEFAULT_VEHTYPE,N/A,:7872074153_5_0,start,0.22,12.738574436202407
27,3,DEFAULT_VEHTYPE,N/A,406242635#0_1,end,281.77,10.596136623188693
28,1,DEFAULT_VEHTYPE,N/A,:cluster_123583539_939854594_2_0,start,0.53,1.8245325572611233
28,4,DEFAULT_VEHTYPE,N/A,:1211029689_1_0,start,0.54,13.015252424638167
28,t1B3-b2739-sl4.0,bus,N/A,755844281#0_1,end,58.16,4.4081888276850805
29,1,DEFAULT_VEHTYPE,N/A,:cluster_123583539_939854594_2_0,middle,4.51,3.9786451168180847
29,11,DEFAULT_VEHTYPE,N/A,-340769362#1_0,middle,63.48,14.46251844984945
29,4,DEFAULT_VEHTYPE,N/A,13310793#4_0,start,0.4,13.066450363375626
30,3,DEFAULT_VEHTYPE,N/A,:cluster_123112180_939854609_21_0,end,2.34,5.819833423217982
30,9,DEFAULT_VEHTYPE,N/A,:6731611123_3_0,start,0.19,16.628083707895385
30,t163-b2736-sl4.0,bus,N/A,59712267#1_1,end,15.27,11.017567475675605
33,6,DEFAULT_VEHTYPE,N/A,:6821987675_1_0,end,9.21,14.071714214421332
33,9,DEFAULT_VEHTYPE,N/A,405543907#5_0,start,0.3,16.83335651100173
33,t163-b2736-sl4.0,bus,N/A,59712267#3_1,start,0.13,12.91536252561491
34,0,DEFAULT_VEHTYPE,N/A,:6745394383_0_0,start,0.25,13.87745061969068
34,11,DEFAULT_VEHTYPE,N/A,-340769362#1_0,end,127.54,5.0322151087992815
34,6,DEFAULT_VEHTYPE,N/A,-13460918#9_0,middle,13.05,13.24363125939806
35,0,DEFAULT_VEHTYPE,N/A,:6078203857_1_0,start,0.75,14.27496643826049
35,11,DEFAULT_VEHTYPE,N/A,:123405432_9_0,middle,1.6,3.1695983051507546
36,13,DEFAULT_VEHTYPE,N/A,:12435605832_0_0,middle,4.89,15.551371889808909
36,4,DEFAULT_VEHTYPE,N/A,:cluster_1211029391_1211029430_3_0,middle,3.57,6.54639648035191
36,t1B3-b2739-sl4.0,bus,N/A,:cluster_444570416_7059565461_1_0,start,0.51,0.6083700425224379
37,0,DEFAULT_VEHTYPE,N/A,-13387358#24_0,middle,19.83,14.54034383940194
37,2,DEFAULT_VEHTYPE,N/A,:7872074160_6_0,end,9.12,13.657220280461706
39,4,DEFAULT_VEHTYPE,N/A,105057043#3_0,end,20.9,9.626165179223978
40,2,DEFAULT_VEHTYPE,N/A,13463892#13_0,start,0.49,13.426859323645704
