vehicle_id,vehicle_type,tls_id,wait_start_time,wait_end_time,wait_duration
1,DEFAULT_VEHTYPE,GS_cluster_123583539_939854594,2,3,1
12,DEFAULT_VEHTYPE,122960160,24,25,1
t1B3-b2739-sl4.0,bus,GS_cluster_444570416_7059565461,29,35,6
23,DEFAULT_VEHTYPE,GS_cluster_444570416_7059565461,61,62,1
t1B3-b2739-sl4.0,bus,cluster_322079583_7059565429_7059565430_7059565458,65,72,7
15,DEFAULT_VEHTYPE,123155447,63,78,15
17,DEFAULT_VEHTYPE,5703666296,63,97,34
49,DEFAULT_VEHTYPE,cluster_268162626_7464757606_939854537,98,99,1
t1B3-b2739-sl4.0,bus,cluster_461492468_7059565454,102,111,9
57,DEFAULT_VEHTYPE,122793092,114,115,1
64,DEFAULT_VEHTYPE,cluster_322079583_7059565429_7059565430_7059565458,128,129,1
13,DEFAULT_VEHTYPE,122793092,55,144,89
76,DEFAULT_VEHTYPE,123155447,152,153,1
48,DEFAULT_VEHTYPE,cluster_322079583_7059565429_7059565430_7059565458,137,167,30
1,DEFAULT_VEHTYPE,GS_cluster_343596914_939854645,81,169,88
64,DEFAULT_VEHTYPE,cluster_461492468_7059565454,157,171,14
4,DEFAULT_VEHTYPE,123155447,53,173,120
92,DEFAULT_VEHTYPE,1166628271,184,185,1
2,DEFAULT_VEHTYPE,122793092,148,196,48
t163-b2736-sl4.0,bus,1166628271,188,199,11
75,DEFAULT_VEHTYPE,5703666296,169,204,35
26,DEFAULT_VEHTYPE,123155447,201,205,4
61,DEFAULT_VEHTYPE,GS_cluster_343596914_939854645,192,206,14
12,DEFAULT_VEHTYPE,cluster_11500662930_268161351_268161547,205,213,8
107,DEFAULT_VEHTYPE,122960160,214,215,1
110,DEFAULT_VEHTYPE,122804862,220,221,1
58,DEFAULT_VEHTYPE,cluster_322079583_7059565429_7059565430_7059565458,200,228,28
36,DEFAULT_VEHTYPE,GS_cluster_343596914_939854645,228,234,6
118,DEFAULT_VEHTYPE,GS_cluster_123583539_939854594,236,237,1
57,DEFAULT_VEHTYPE,cluster_122966911_7059565450,199,237,38
29,DEFAULT_VEHTYPE,GS_cluster_343596914_939854645,145,240,95
100,DEFAULT_VEHTYPE,122804862,215,245,30
38,DEFAULT_VEHTYPE,cluster_11500662930_268161351_268161547,222,245,23
104,DEFAULT_VEHTYPE,5703666296,235,252,17
96,DEFAULT_VEHTYPE,2030551464,232,252,20
101,DEFAULT_VEHTYPE,GS_1166628306,246,257,11
t1B3-b2739-sl4.0,bus,GS_cluster_268161414_5950715985,250,257,7
49,DEFAULT_VEHTYPE,2030551464,169,268,99
85,DEFAULT_VEHTYPE,5703666296,231,275,44
t1B3-b2739-sl4.0,bus,GS_cluster_268161414_5950715985,263,275,12
101,DEFAULT_VEHTYPE,268161337,277,283,6
83,DEFAULT_VEHTYPE,GS_cluster_343596914_939854645,201,285,84
57,DEFAULT_VEHTYPE,cluster_461492468_7059565454,241,287,46
11,DEFAULT_VEHTYPE,GS_cluster_343596914_939854645,297,305,8
110,DEFAULT_VEHTYPE,GS_cluster_268161414_5950715985,295,305,10
15,DEFAULT_VEHTYPE,GS_cluster_343596914_939854645,297,305,8
34,DEFAULT_VEHTYPE,GS_cluster_343596914_939854645,281,305,24
37,DEFAULT_VEHTYPE,GS_cluster_343596914_939854645,295,305,10
45,DEFAULT_VEHTYPE,GS_cluster_343596914_939854645,278,305,27
66,DEFAULT_VEHTYPE,GS_cluster_343596914_939854645,290,305,15
67,DEFAULT_VEHTYPE,GS_cluster_343596914_939854645,296,305,9
71,DEFAULT_VEHTYPE,268161337,304,312,8
t1B3-b2739-sl4.0,bus,2030551464,300,314,14
94,DEFAULT_VEHTYPE,5703666296,289,318,29
100,DEFAULT_VEHTYPE,GS_cluster_268161414_5950715985,290,321,31
50,DEFAULT_VEHTYPE,GS_cluster_7059565448_7059565449_7464757604_939854561,273,330,57
24,DEFAULT_VEHTYPE,268161552,329,332,3
