vehicle_id,vehicle_type,start_time,end_time,duration
11,DEFAULT_VEHTYPE,22,122,100
19,DEFAULT_VEHTYPE,38,130,92
54,DEFAULT_VEHTYPE,108,130,22
3,DEFAULT_VEHTYPE,6,132,126
7,DEFAULT_VEHTYPE,14,134,120
13,DEFAULT_VEHTYPE,26,142,116
17,DEFAULT_VEHTYPE,34,143,109
40,DEFAULT_VEHTYPE,80,148,68
35,DEFAULT_VEHTYPE,70,168,98
4,DEFAULT_VEHTYPE,8,174,166
48,DEFAULT_VEHTYPE,96,174,78
20,DEFAULT_VEHTYPE,40,175,135
34,DEFAULT_VEHTYPE,68,176,108
14,DEFAULT_VEHTYPE,28,183,155
42,DEFAULT_VEHTYPE,84,189,105
46,DEFAULT_VEHTYPE,92,193,101
22,DEFAULT_VEHTYPE,44,194,150
1,DEFAULT_VEHTYPE,2,198,196
10,DEFAULT_VEHTYPE,20,199,179
12,DEFAULT_VEHTYPE,24,199,175
0,DEFAULT_VEHTYPE,0,200,200
28,DEFAULT_VEHTYPE,56,200,144
31,DEFAULT_VEHTYPE,62,200,138
6,DEFAULT_VEHTYPE,12,202,190
58,DEFAULT_VEHTYPE,116,208,92
8,DEFAULT_VEHTYPE,16,211,195
59,DEFAULT_VEHTYPE,118,212,94
50,DEFAULT_VEHTYPE,100,217,117
36,DEFAULT_VEHTYPE,72,218,146
57,DEFAULT_VEHTYPE,114,218,104
60,DEFAULT_VEHTYPE,120,219,99
64,DEFAULT_VEHTYPE,128,228,100
27,DEFAULT_VEHTYPE,54,233,179
41,DEFAULT_VEHTYPE,82,234,152
69,DEFAULT_VEHTYPE,138,237,99
55,DEFAULT_VEHTYPE,110,243,133
51,DEFAULT_VEHTYPE,102,244,142
37,DEFAULT_VEHTYPE,74,245,171
15,DEFAULT_VEHTYPE,30,246,216
38,DEFAULT_VEHTYPE,76,246,170
52,DEFAULT_VEHTYPE,104,246,142
21,DEFAULT_VEHTYPE,42,256,214
73,DEFAULT_VEHTYPE,146,256,110
33,DEFAULT_VEHTYPE,66,261,195
53,DEFAULT_VEHTYPE,106,261,155
45,DEFAULT_VEHTYPE,90,262,172
49,DEFAULT_VEHTYPE,98,269,171
81,DEFAULT_VEHTYPE,162,270,108
24,DEFAULT_VEHTYPE,48,271,223
5,DEFAULT_VEHTYPE,10,273,263
39,DEFAULT_VEHTYPE,78,273,195
43,DEFAULT_VEHTYPE,86,273,187
2,DEFAULT_VEHTYPE,4,277,273
32,DEFAULT_VEHTYPE,65,277,212
97,DEFAULT_VEHTYPE,194,277,83
130,DEFAULT_VEHTYPE,260,279,19
85,DEFAULT_VEHTYPE,170,280,110
71,DEFAULT_VEHTYPE,142,288,146
72,DEFAULT_VEHTYPE,144,288,144
61,DEFAULT_VEHTYPE,122,290,168
29,DEFAULT_VEHTYPE,58,291,233
23,DEFAULT_VEHTYPE,46,292,246
127,DEFAULT_VEHTYPE,254,295,41
18,DEFAULT_VEHTYPE,36,296,260
30,DEFAULT_VEHTYPE,60,296,236
80,DEFAULT_VEHTYPE,160,296,136
86,DEFAULT_VEHTYPE,172,297,125
56,DEFAULT_VEHTYPE,112,301,189
47,DEFAULT_VEHTYPE,94,302,208
98,DEFAULT_VEHTYPE,196,303,107
101,DEFAULT_VEHTYPE,202,304,102
116,DEFAULT_VEHTYPE,232,304,72
75,DEFAULT_VEHTYPE,150,306,156
91,DEFAULT_VEHTYPE,182,309,127
87,DEFAULT_VEHTYPE,174,313,139
111,DEFAULT_VEHTYPE,222,313,91
t1A9-b1601D-sl4.0,bus,2,314,312
9,DEFAULT_VEHTYPE,18,318,300
66,DEFAULT_VEHTYPE,132,318,186
108,DEFAULT_VEHTYPE,216,318,102
26,DEFAULT_VEHTYPE,52,321,269
44,DEFAULT_VEHTYPE,88,322,234
76,DEFAULT_VEHTYPE,152,332,180
78,DEFAULT_VEHTYPE,156,333,177
84,DEFAULT_VEHTYPE,168,333,165
t212-b15F99-sl4.0,bus,3,334,331
