sim_time,vehicle_id,tls_id,lane_id,eta,speed,priority_granted,phase_index,note
0.05,bus1,N/A,-13387358#4_0,N/A,0.0,no,N/A,No TLS ahead
0.05,bus2,N/A,405545584_0,N/A,0.0,no,N/A,No TLS ahead
0.1,bus1,N/A,-13387358#4_0,N/A,0.06,no,N/A,No TLS ahead
0.1,bus2,N/A,405545584_0,N/A,0.06,no,N/A,No TLS ahead
0.15,bus1,N/A,-13387358#4_0,N/A,0.12,no,N/A,No TLS ahead
0.15,bus2,N/A,405545584_0,N/A,0.12,no,N/A,No TLS ahead
0.2,bus1,N/A,-13387358#4_0,N/A,0.17,no,N/A,No TLS ahead
0.2,bus2,N/A,405545584_0,N/A,0.17,no,N/A,No TLS ahead
0.25,bus1,N/A,-13387358#4_0,N/A,0.23,no,N/A,No TLS ahead
0.25,bus2,N/A,405545584_0,N/A,0.23,no,N/A,No TLS ahead
0.3,bus1,N/A,-13387358#4_0,N/A,0.29,no,N/A,No TLS ahead
0.3,bus2,N/A,405545584_0,N/A,0.29,no,N/A,No TLS ahead
0.35,bus1,N/A,-13387358#4_0,N/A,0.34,no,N/A,No TLS ahead
0.35,bus2,N/A,405545584_0,N/A,0.35,no,N/A,No TLS ahead
0.4,bus1,N/A,-13387358#4_0,N/A,0.4,no,N/A,No TLS ahead
0.4,bus2,N/A,405545584_0,N/A,0.4,no,N/A,No TLS ahead
0.45,bus1,N/A,-13387358#4_0,N/A,0.45,no,N/A,No TLS ahead
0.45,bus2,N/A,405545584_0,N/A,0.46,no,N/A,No TLS ahead
0.5,bus1,N/A,-13387358#4_0,N/A,0.51,no,N/A,No TLS ahead
0.5,bus2,N/A,405545584_0,N/A,0.52,no,N/A,No TLS ahead
0.55,bus1,N/A,-13387358#4_0,N/A,0.56,no,N/A,No TLS ahead
0.55,bus2,N/A,405545584_0,N/A,0.56,no,N/A,No TLS ahead
0.6,bus1,N/A,-13387358#4_0,N/A,0.62,no,N/A,No TLS ahead
0.6,bus2,N/A,405545584_0,N/A,0.61,no,N/A,No TLS ahead
0.65,bus1,N/A,-13387358#4_0,N/A,0.67,no,N/A,No TLS ahead
0.65,bus2,N/A,405545584_0,N/A,0.67,no,N/A,No TLS ahead
0.7,bus1,N/A,-13387358#4_0,N/A,0.71,no,N/A,No TLS ahead
0.7,bus2,N/A,405545584_0,N/A,0.73,no,N/A,No TLS ahead
0.75,bus1,N/A,-13387358#4_0,N/A,0.75,no,N/A,No TLS ahead
0.75,bus2,N/A,405545584_0,N/A,0.78,no,N/A,No TLS ahead
0.8,bus1,N/A,-13387358#4_0,N/A,0.81,no,N/A,No TLS ahead
0.8,bus2,N/A,405545584_0,N/A,0.84,no,N/A,No TLS ahead
0.85,bus1,N/A,-13387358#4_0,N/A,0.86,no,N/A,No TLS ahead
0.85,bus2,N/A,405545584_0,N/A,0.88,no,N/A,No TLS ahead
0.9,bus1,N/A,-13387358#4_0,N/A,0.91,no,N/A,No TLS ahead
0.9,bus2,N/A,405545584_0,N/A,0.93,no,N/A,No TLS ahead
0.95,bus1,N/A,-13387358#4_0,N/A,0.95,no,N/A,No TLS ahead
0.95,bus2,N/A,405545584_0,N/A,0.97,no,N/A,No TLS ahead
1.0,bus1,N/A,-13387358#4_0,N/A,1.0,no,N/A,No TLS ahead
1.0,bus2,N/A,405545584_0,N/A,1.01,no,N/A,No TLS ahead
1.05,bus1,N/A,-13387358#4_0,N/A,1.05,no,N/A,No TLS ahead
1.05,bus2,N/A,405545584_0,N/A,1.05,no,N/A,No TLS ahead
1.1,bus1,N/A,-13387358#4_0,N/A,1.09,no,N/A,No TLS ahead
1.1,bus2,N/A,405545584_0,N/A,1.09,no,N/A,No TLS ahead
1.15,bus1,N/A,-13387358#4_0,N/A,1.13,no,N/A,No TLS ahead
1.15,bus2,N/A,405545584_0,N/A,1.14,no,N/A,No TLS ahead
1.2,bus1,N/A,-13387358#4_0,N/A,1.18,no,N/A,No TLS ahead
1.2,bus2,N/A,405545584_0,N/A,1.19,no,N/A,No TLS ahead
1.25,bus1,N/A,-13387358#4_0,N/A,1.22,no,N/A,No TLS ahead
1.25,bus2,N/A,405545584_0,N/A,1.23,no,N/A,No TLS ahead
1.3,bus1,N/A,-13387358#4_0,N/A,1.27,no,N/A,No TLS ahead
1.3,bus2,N/A,405545584_0,N/A,1.27,no,N/A,No TLS ahead
1.35,bus1,N/A,-13387358#4_0,N/A,1.33,no,N/A,No TLS ahead
1.35,bus2,N/A,405545584_0,N/A,1.33,no,N/A,No TLS ahead
1.4,bus1,N/A,-13387358#4_0,N/A,1.37,no,N/A,No TLS ahead
1.4,bus2,N/A,405545584_0,N/A,1.37,no,N/A,No TLS ahead
