sim_time,vehicle_id,vehicle_type,tls_id,lane_id,position_marker,actual_position,speed
4,bus1,bus,N/A,:8474276645_0_0,start,0.07,3.7889960329513994
5,bus1,bus,N/A,:8474276645_0_0,middle,4.67,4.59855785742402
5,car1.0,DEFAULT_VEHTYPE,N/A,-24672357#1_0,middle,35.29,9.697938731801695
6,bus1,bus,N/A,-13387358#3_0,start,0.89,5.621241963794454
6,bus2,bus,N/A,405545584_1,middle,30.93,5.297371482476592
8,car1.0,DEFAULT_VEHTYPE,N/A,:3783639860_6_0,middle,4.49,15.23824991029687
9,car2.0,DEFAULT_VEHTYPE,N/A,:7059565437_0_0,start,0.28,11.349094688624957
10,bus2,bus,N/A,405545584_1,end,60.8,8.990032128430903
11,bus2,bus,N/A,:4077278431_0_1,end,9.41,9.702475190302357
11,car1.2,DEFAULT_VEHTYPE,N/A,-24672357#1_0,middle,35.1,9.902659144205971
14,car2.1,DEFAULT_VEHTYPE,N/A,755844260#0_0,start,0.29,9.983025802953206
15,bus1,bus,N/A,-13387358#2_0,end,61.16,12.838845045492047
17,bus2,bus,N/A,:7548423678_0_1,middle,4.79,14.635293537564571
17,car1.3,DEFAULT_VEHTYPE,N/A,:3783639860_6_0,middle,4.57,15.67623276025988
18,bus2,bus,N/A,:7144764489_3_0,middle,5.28,15.300688308198
18,car2.2,DEFAULT_VEHTYPE,N/A,755844260#0_0,middle,12.72,8.315061438682607
18,car4.1,DEFAULT_VEHTYPE,N/A,:cluster_122615011_939854522_5_0,middle,11.99,8.128720611205386
19,bus1,bus,N/A,-13387358#1_0,end,39.5,9.13256164395252
20,car1.0,DEFAULT_VEHTYPE,N/A,:5732706428_0_1,middle,4.59,14.428142430886442
21,car1.0,DEFAULT_VEHTYPE,N/A,:12154695595_0_1,start,0.15,16.409565644522015
22,car2.4,DEFAULT_VEHTYPE,N/A,:7059565437_0_0,end,8.01,12.388812343080879
